srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,firstTime,flast,blast,class
192.168.4.121,51790,65.54.81.121,80,6,6,848,4,338,40,141,636,242,40,84,206,81,4,4,16,6,4,1,4,2,20,20,20,20,0,0,0,0,0,6,848,4,338,1,1,0,0,252,172,0,1276318850,1276318870,1276318854,normal
192.168.4.121,51791,65.54.81.30,80,6,6,848,5,378,40,141,636,242,40,75,206,73,4,3,11,4,4,3,11,5,15,15,15,15,0,0,0,0,0,6,848,5,378,1,1,0,0,252,212,0,1276318865,1276318880,1276318880,normal
192.168.2.109,4065,72.21.210.5,80,6,16,1021,15,13641,40,63,134,35,40,909,1500,648,0,6,100,25,100,7,100,26,100,100,100,100,0,0,0,0,0,16,1021,15,13641,5,5,0,0,648,604,0,1276318780,1276318880,1276318880,normal
192.168.56.1,51447,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,3,5,53,12,1,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318782,1276318887,1276318887,attack
192.168.1.104,16265,216.109.86.150,80,6,34,1566,59,74783,40,46,140,23,40,1267,1420,413,0,3,100,17,100,1,100,13,101,101,101,101,0,0,0,0,0,34,1566,59,74783,2,2,0,0,1368,2364,0,1276318786,1276318887,1276318887,normal
192.168.56.1,51499,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,2,5,53,12,1,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318783,1276318888,1276318888,attack
192.168.56.1,51594,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,2,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318785,1276318890,1276318890,attack
192.168.56.1,51595,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,2,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318785,1276318890,1276318890,attack
192.168.2.106,3333,192.168.5.122,110,6,8,367,15,752,40,45,55,5,40,50,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,367,15,752,4,10,0,0,328,616,0,1276318891,1276318891,1276318891,normal
192.168.2.110,1869,64.236.92.18,80,6,5,274,5,760,40,54,106,28,40,152,592,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,274,5,760,1,1,0,0,208,208,0,1276318891,1276318891,1276318891,normal
192.168.56.1,51612,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318786,1276318893,1276318893,attack
192.168.56.1,51513,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,109,109,109,109,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318784,1276318893,1276318893,attack
192.168.56.1,51572,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,109,109,109,109,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318785,1276318894,1276318894,attack
192.168.56.1,51681,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318787,1276318894,1276318894,attack
192.168.4.121,51792,65.54.81.30,80,6,6,848,4,338,40,141,636,242,40,84,206,81,4,3,11,4,4,1,4,2,15,15,15,15,0,0,0,0,0,6,848,4,338,1,1,0,0,252,172,0,1276318880,1276318895,1276318884,normal
192.168.2.110,1872,69.84.133.138,80,6,13,673,18,22071,40,51,185,40,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,673,18,22071,1,1,0,0,528,728,0,1276318895,1276318895,1276318895,normal
192.168.2.110,1875,69.84.133.138,80,6,13,654,18,22071,40,50,166,34,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,654,18,22071,1,1,0,0,528,728,0,1276318895,1276318896,1276318896,normal
192.168.2.110,1874,69.84.133.138,80,6,13,625,18,22071,40,48,137,26,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,625,18,22071,1,1,0,0,528,728,0,1276318895,1276318896,1276318896,normal
192.168.56.1,51740,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,2,5,54,12,1,17,76,29,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318788,1276318896,1276318896,attack
192.168.56.1,51750,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,2,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318788,1276318896,1276318896,attack
192.168.2.110,1876,69.84.133.138,80,6,13,636,18,22071,40,48,148,29,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,636,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.2.110,1877,69.84.133.138,80,6,13,645,18,22071,40,49,157,32,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,645,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.2.110,1878,69.84.133.138,80,6,13,648,18,22071,40,49,160,33,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,648,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.2.110,1879,69.84.133.138,80,6,13,627,18,22071,40,48,139,27,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,627,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.56.1,51791,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,54,12,2,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318789,1276318897,1276318897,attack
192.168.2.110,1880,69.84.133.138,80,6,13,630,18,22071,40,48,142,28,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,630,18,22071,1,1,0,0,528,728,0,1276318896,1276318897,1276318897,normal
192.168.56.1,51811,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318790,1276318897,1276318897,attack
192.168.56.1,51562,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,113,113,113,113,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318785,1276318898,1276318898,attack
192.168.56.1,51890,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,2,5,54,12,1,17,76,29,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318791,1276318899,1276318899,attack
192.168.56.1,51820,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,54,12,1,17,76,29,110,110,110,110,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318790,1276318900,1276318900,attack
192.168.56.1,51651,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318786,1276318900,1276318900,attack
192.168.56.1,51978,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318793,1276318900,1276318900,attack
192.168.56.1,51720,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,54,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318788,1276318902,1276318902,attack
192.168.56.1,52047,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,2,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318794,1276318902,1276318902,attack
192.168.3.115,3973,98.130.115.113,80,6,52,2240,95,136124,40,43,132,15,40,1432,1500,298,0,1,57,8,6,0,57,5,64,64,64,64,0,0,0,0,0,52,2240,95,136124,2,18,0,0,2088,3808,0,1276318838,1276318902,1276318902,normal
192.168.56.1,51968,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,54,12,1,17,76,29,110,110,110,110,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318793,1276318903,1276318903,attack
192.168.56.1,51414,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318782,1276318903,1276318903,attack
192.168.56.1,51423,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,54,12,1,17,76,29,122,122,122,122,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318782,1276318904,1276318904,attack
192.168.56.1,52185,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,3,5,54,12,1,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318797,1276318905,1276318905,attack
192.168.56.1,52086,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,2,17,75,28,110,110,110,110,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318795,1276318905,1276318905,attack
192.168.56.1,51948,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318792,1276318906,1276318906,attack
192.168.56.1,52263,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318799,1276318906,1276318906,attack
192.168.56.1,52204,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,109,109,109,109,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318798,1276318907,1276318907,attack
192.168.56.1,52382,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,2,5,54,12,1,17,76,29,107,107,107,107,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318801,1276318908,1276318908,attack
192.168.56.1,51660,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318787,1276318908,1276318908,attack
192.168.56.1,52431,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,2,5,54,12,1,17,76,29,107,107,107,107,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318802,1276318909,1276318909,attack
192.168.56.1,51719,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,54,12,1,17,76,29,122,122,122,122,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318788,1276318910,1276318910,attack
192.168.4.121,51793,65.54.81.218,80,6,6,848,4,339,40,141,636,242,40,84,207,81,4,3,11,4,4,1,4,2,15,15,15,15,0,0,0,0,0,6,848,4,339,1,1,0,0,252,172,0,1276318895,1276318910,1276318899,normal
192.168.1.104,16275,174.35.52.80,80,6,20,1152,29,31789,40,57,194,43,40,1096,1500,621,0,0,4,1,2,0,4,0,8,8,8,8,0,0,0,0,0,20,1152,29,31789,3,4,0,0,808,1168,0,1276318902,1276318910,1276318910,normal
192.168.56.1,52135,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318796,1276318910,1276318910,attack
192.168.1.104,16285,204.13.200.58,80,6,9,499,10,9578,40,55,171,43,40,957,1500,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,499,10,9578,1,1,0,0,368,408,0,1276318910,1276318910,1276318910,normal
192.168.1.104,16286,204.13.200.58,80,6,9,475,10,9578,40,52,147,35,40,957,1500,709,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,9,475,10,9578,1,1,0,0,368,408,0,1276318910,1276318911,1276318911,normal
192.168.56.1,52184,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318797,1276318911,1276318911,attack
192.168.56.1,51799,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,11,2,17,75,28,122,122,122,122,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318789,1276318911,1276318911,attack
192.168.56.1,52243,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318798,1276318912,1276318912,attack
192.168.56.1,51858,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318791,1276318912,1276318912,attack
192.168.56.1,52597,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318806,1276318913,1276318913,attack
192.168.56.1,52647,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,1,17,75,28,106,106,106,106,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318807,1276318913,1276318913,attack
192.168.56.1,52548,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,109,109,109,109,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318805,1276318914,1276318914,attack
192.168.56.1,52361,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,54,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318801,1276318915,1276318915,attack
192.168.56.1,52754,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,1,17,75,28,106,106,106,106,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318809,1276318915,1276318915,attack
192.168.56.1,52715,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318808,1276318915,1276318915,attack
192.168.2.113,4751,192.168.2.106,139,6,11,1429,10,1119,40,129,304,88,40,111,327,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1429,10,1119,8,8,0,0,448,408,0,1276318916,1276318916,1276318916,normal
192.168.1.104,16287,204.13.200.58,80,6,9,475,10,9578,40,52,147,35,40,957,1500,709,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,9,475,10,9578,1,1,0,0,368,408,0,1276318916,1276318917,1276318917,normal
192.168.56.1,52676,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,110,110,110,110,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318807,1276318917,1276318917,attack
192.168.56.1,51302,75.127.97.72,80,6,23,17172,7,400,52,746,1500,737,40,57,60,7,1,6,53,11,1,17,75,28,138,138,138,138,0,0,0,0,0,23,17172,7,400,0,0,0,0,1244,400,0,1276318779,1276318917,1276318917,attack
192.168.56.1,52832,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318810,1276318918,1276318918,attack
