srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,firstTime,flast,blast,class
192.168.4.121,52046,65.54.81.46,80,6,6,848,5,379,40,141,636,242,40,75,207,73,3,3,12,5,3,3,12,5,15,15,15,15,0,0,0,0,0,6,848,5,379,1,1,0,0,252,212,0,1276321430,1276321445,1276321445,normal
192.168.2.110,1977,208.89.13.133,80,6,6,451,6,644,40,75,243,82,40,107,427,156,0,20,100,44,0,20,100,44,100,100,100,100,0,0,0,0,0,6,451,6,644,1,2,0,0,248,244,0,1276321345,1276321445,1276321445,normal
192.168.1.104,16440,174.35.52.82,80,6,7,462,6,1929,40,66,134,41,40,321,1402,544,0,9,51,20,5,11,51,22,56,56,56,56,0,0,0,0,0,7,462,6,1929,2,2,0,0,288,248,0,1276321397,1276321453,1276321453,normal
192.168.2.112,1128,97.74.104.201,80,6,12,868,7,4432,40,72,153,46,40,633,1076,552,1,9,99,29,0,17,101,40,106,106,106,106,0,0,0,0,0,12,868,7,4432,4,4,0,0,488,288,0,1276321348,1276321454,1276321454,normal
192.168.2.112,1129,97.74.104.201,443,6,15,1576,11,8881,40,105,350,92,40,807,1420,612,0,7,100,26,0,10,100,31,105,105,105,105,0,0,0,0,0,15,1576,11,8881,6,6,0,0,608,448,0,1276321349,1276321454,1276321454,normal
192.168.1.104,16438,174.35.52.82,80,6,12,817,14,5207,40,68,143,41,40,371,1500,509,0,5,52,15,5,4,52,14,58,58,58,58,0,0,0,0,0,12,817,14,5207,4,6,0,0,488,568,0,1276321396,1276321454,1276321454,normal
192.168.2.112,1130,64.202.188.237,443,6,104,5140,194,258677,40,49,350,41,40,1333,1420,321,0,1,100,9,0,0,100,7,105,105,105,105,0,0,0,0,0,104,5140,194,258677,6,10,0,0,4168,7760,0,1276321349,1276321454,1276321454,normal
192.168.1.104,16439,174.35.52.80,80,6,9,650,9,2758,40,72,143,46,40,306,1056,377,0,7,52,18,5,7,52,18,58,58,58,58,0,0,0,0,0,9,650,9,2758,3,4,0,0,368,368,0,1276321396,1276321454,1276321454,normal
192.168.2.112,1131,69.192.21.13,443,6,10,814,8,5487,40,81,222,67,40,685,1500,686,0,11,100,33,100,14,100,37,100,100,100,100,0,0,0,0,0,10,814,8,5487,3,4,0,0,408,328,0,1276321354,1276321454,1276321454,normal
192.168.1.104,16448,204.13.200.58,443,6,11,1012,12,12285,40,92,350,99,40,1023,1500,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1012,12,12285,3,3,0,0,448,488,0,1276321454,1276321454,1276321454,normal
192.168.1.104,16442,174.35.52.80,80,6,8,523,7,2741,40,65,146,44,40,391,1500,551,0,8,52,19,5,9,52,20,57,57,57,57,0,0,0,0,0,8,523,7,2741,2,2,0,0,328,288,0,1276321398,1276321455,1276321455,normal
192.168.2.109,4082,72.21.211.241,80,6,31,1897,37,38563,40,61,127,33,40,1042,1500,607,0,3,100,18,100,2,100,16,102,102,102,102,0,0,0,0,0,31,1897,37,38563,9,9,0,0,1248,1484,0,1276321356,1276321458,1276321458,normal
192.168.1.104,16435,192.168.5.122,80,6,31,2043,87,101094,40,65,132,37,40,1162,1500,513,5,3,95,17,95,1,95,10,100,100,100,100,0,0,0,0,0,31,2043,87,101094,10,26,0,0,1248,3496,0,1276321358,1276321458,1276321458,normal
192.168.1.104,16455,204.13.200.58,80,6,9,475,10,9578,40,52,147,35,40,957,1500,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,475,10,9578,1,1,0,0,368,408,0,1276321459,1276321459,1276321459,normal
192.168.4.121,52047,65.54.81.46,80,6,6,848,4,339,40,141,636,242,40,84,207,81,3,3,12,5,3,1,3,1,15,15,15,15,0,0,0,0,0,6,848,4,339,1,1,0,0,252,172,0,1276321445,1276321460,1276321448,normal
192.168.2.110,1978,192.168.5.122,80,6,20,1567,47,44692,40,78,170,44,40,950,1500,552,5,5,95,21,95,2,95,14,100,100,100,100,0,0,0,0,0,20,1567,47,44692,9,18,0,0,808,1896,0,1276321362,1276321462,1276321462,normal
192.168.2.112,1132,192.168.5.122,110,6,8,369,15,752,40,46,56,6,40,50,60,7,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,8,369,15,752,4,10,0,0,328,616,0,1276321464,1276321465,1276321465,normal
192.168.4.121,52012,198.173.73.203,80,6,8,412,10,8788,40,51,120,27,40,878,1500,728,0,14,100,37,0,11,100,33,102,102,102,102,0,0,0,0,0,8,412,10,8788,1,1,0,0,332,412,0,1276321365,1276321467,1276321467,normal
